latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
37.9786,23.73067,Entire home/apt,147,1,2,0.03
37.97804,23.72942,Entire home/apt,138,1,2,0.04
37.97715,23.73135,Entire home/apt,129,1,2,0.04
37.97858,23.72974,Entire home/apt,129,1,2,0.03
37.96697,23.73009,Entire home/apt,41,1,2,2
37.96697,23.73009,Entire home/apt,54,1,2,0.03
37.96613,23.72402,Entire home/apt,118,1,2,0.05
37.97755,23.72874,Entire home/apt,179,1,2,0.16
37.97808,23.72268,Entire home/apt,35,1,2,0.05
37.97921,23.73912,Entire home/apt,200,1,2,0.04
37.97973,23.72668,Entire home/apt,170,1,2,0.05
38.01114,23.73253,Entire home/apt,34,1,2,0.07
37.9715271,23.73163414,Entire home/apt,200,1,2,0.07
37.96603,23.73083,Entire home/apt,54,1,2,0.05
37.978302,23.75363541,Entire home/apt,122,1,2,0.06
37.97574,23.72994,Entire home/apt,117,1,2,0.07
37.976265,23.727022,Entire home/apt,332,1,2,0.06
37.96197,23.7226,Entire home/apt,61,1,2,0.05
37.97877,23.72946,Entire home/apt,75,1,2,0.06
37.97876,23.7287,Entire home/apt,80,1,2,0.06
37.9773,23.73078,Entire home/apt,87,1,2,0.07
37.977,23.73062,Entire home/apt,80,1,2,0.15
37.98033,23.72036,Entire home/apt,81,1,2,0.14
37.97901,23.72226,Entire home/apt,78,1,2,0.07
37.97553,23.72598,Entire home/apt,292,1,2,0.07
37.97822,23.731,Entire home/apt,94,1,2,0.07
37.97894,23.72959,Entire home/apt,127,1,2,0.14
37.98653,23.72006,Entire home/apt,72,1,2,0.19
37.97904,23.74474,Entire home/apt,829,1,2,0.08
37.98472214,23.76351929,Entire home/apt,100,1,2,0.07
37.97983,23.72385,Entire home/apt,90,1,2,0.06
37.963291,23.721592,Entire home/apt,60,1,2,0.06
37.98021,23.72353,Entire home/apt,69,1,2,0.06
37.97775,23.72655,Entire home/apt,149,1,2,0.07
37.97688031,23.7289752,Entire home/apt,111,1,2,0.55
37.9768634,23.7291254,Entire home/apt,125,1,2,0.13
37.9839347,23.7229706,Entire home/apt,90,1,2,0.1
37.98603,23.7314,Entire home/apt,49,1,2,0.09
37.97778,23.72818,Entire home/apt,132,1,2,0.07
37.9779002,23.7281366,Entire home/apt,95,1,2,0.08
37.9898552,23.7660486,Entire home/apt,78,1,2,0.2
38.0151937,23.7376694,Entire home/apt,61,1,2,0.07
37.9660716,23.7271401,Entire home/apt,260,1,2,0.07
37.9821073,23.721766,Entire home/apt,83,1,2,0.08
37.9815091,23.7380563,Entire home/apt,251,1,2,0.08
37.97598799,23.73205355,Entire home/apt,107,1,2,0.08
37.97865,23.72586,Entire home/apt,100,1,2,0.23
37.98676205,23.73126426,Entire home/apt,76,1,2,0.11
37.9939514,23.7214919,Entire home/apt,32,1,2,0.09
37.9861455,23.7392199,Entire home/apt,69,1,2,0.1
37.9861455,23.7392199,Entire home/apt,75,1,2,0.15
37.9861455,23.7392199,Entire home/apt,55,1,2,0.25
37.9861455,23.7392199,Entire home/apt,69,1,2,0.24
37.967567,23.7329197,Entire home/apt,180,1,2,0.09
37.96281121,23.72163608,Entire home/apt,120,1,2,0.09
37.98730311,23.72410044,Entire home/apt,65,1,2,0.1
37.95805022,23.73953175,Entire home/apt,54,1,2,0.1
37.95883001,23.72297939,Entire home/apt,60,1,2,0.36
37.97626336,23.73407789,Entire home/apt,197,1,2,0.11
37.9958289,23.7294696,Entire home/apt,57,1,2,0.22
37.98769,23.74369,Entire home/apt,53,1,2,0.13
37.9683837,23.729533,Entire home/apt,400,1,2,0.12
37.9661693,23.7315181,Entire home/apt,102,1,2,0.11
37.96433857,23.72160603,Entire home/apt,111,1,2,0.1
37.98670201,23.72513822,Entire home/apt,80,1,2,0.36
37.98862842,23.72969338,Entire home/apt,124,1,2,0.23
37.99137,23.740629,Entire home/apt,50,1,2,1
37.9732834,23.7485757,Entire home/apt,64,1,2,0.11
37.9704606,23.74239051,Entire home/apt,48,1,2,0.11
37.9774423,23.7253271,Entire home/apt,118,1,2,0.19
37.9711005,23.746041,Entire home/apt,115,1,2,0.11
38.0153419,23.7321482,Entire home/apt,71,1,2,0.11
37.98738101,23.74687063,Entire home/apt,36,1,2,0.14
38.00336,23.73177,Entire home/apt,70,1,2,0.13
37.97746376,23.73145341,Entire home/apt,148,1,2,0.22
37.9797594,23.7249087,Entire home/apt,94,1,2,0.19
37.9856621,23.7632247,Entire home/apt,50,1,2,0.12
37.98571706,23.76315496,Entire home/apt,49,1,2,0.12
37.9674327,23.7295575,Entire home/apt,113,1,2,0.15
37.96393,23.73101,Entire home/apt,75,1,2,0.12
37.9665968,23.7345716,Entire home/apt,50,1,2,0.17
37.98289,23.72358,Entire home/apt,33,1,2,0.29
37.99180981,23.7603252,Entire home/apt,45,1,2,0.12
37.9665968,23.7345716,Entire home/apt,48,1,2,0.2
37.98480926,23.75431087,Entire home/apt,63,1,2,0.2
37.97811052,23.72381258,Entire home/apt,103,1,2,0.32
37.99389161,23.74462382,Entire home/apt,35,1,2,0.59
37.9824413,23.7352115,Entire home/apt,150,1,2,1.22
37.9824413,23.7352115,Entire home/apt,150,1,2,0.14
37.9824413,23.7352115,Entire home/apt,120,1,2,0.14
37.97377,23.73177,Entire home/apt,113,1,2,0.34
37.967567,23.7329197,Entire home/apt,280,1,2,0.14
